Data,Salário mínimo real - R$ (do último mês) - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12,
1996.12,440.148023794752,
1997.01,436.610650544836,
1997.02,434.653192731571,
1997.03,431.718785796105,
1997.04,429.14416658364,
1997.05,459.290695442622,
1997.06,457.689937307406,
1997.07,456.867889038955,
1997.08,457.003614449309,
1997.09,456.548283610565,
1997.10,455.229412096274,
1997.11,454.547245340894,
1997.12,451.971654622913,
1998.01,448.162534855652,
1998.02,445.756982006844,
1998.03,443.584110288767,
1998.04,441.598261214279,
1998.05,474.979641970114,
1998.06,474.26837779419,
1998.07,475.599306923965,
1998.08,477.940784846602,
1998.09,479.427035172437,
1998.10,478.898916226498,
1998.11,479.762222999047,
1998.12,477.754835979414,
1999.01,474.670414626538,
1999.02,468.625803427959,
1999.03,462.702615156804,
1999.04,460.538020699683,
1999.05,481.552818313944,
1999.06,481.217362731246,
1999.07,477.682577581202,
1999.08,475.070004022474,
1999.09,473.224803696643,
1999.10,468.726411471002,
1999.11,464.362792349449,
1999.12,460.951433697397,
2000.01,458.156722394634,
2000.02,457.927506503902,
2000.03,457.332617167982,
2000.04,507.317448332668,
2000.05,507.570828338827,
2000.06,506.051183577435,
2000.07,499.113911228436,
2000.08,493.146741800668,
2000.09,491.035000301987,
2000.10,490.250339192571,
2000.11,488.832493566464,
2000.12,486.157859487774,
2001.01,482.442128187326,
2001.02,480.088960406271,
2001.03,477.795137460478,
2001.04,564.813767942793,
2001.05,561.612725639614,
2001.06,558.264400921659,
2001.07,552.135568886838,
2001.08,547.806844003301,
2001.09,545.408347027441,
2001.10,540.33017027018,
2001.11,533.448006340959,
2001.12,529.530652387717,
2002.01,523.925547902994,
2002.02,522.307613540213,
2002.03,519.090417298247,
2002.04,572.87028318198,
2002.05,572.355692569363,
2002.06,568.884451206627,
2002.07,562.41610738255,
2002.08,557.619412568872,
2002.09,553.028785661094,
2002.10,544.48051291386,
2002.11,526.629042039163,
2002.12,512.78351595499,
2003.01,500.422893895457,
2003.02,493.221146359114,
2003.03,486.555483763109,
2003.04,575.919347865811,
2003.05,570.274325660217,
2003.06,570.616808563253,
2003.07,570.387601689716,
2003.08,569.362208367297,
2003.09,564.73148730858,
2003.10,562.538527173629,
2003.11,560.464611941464,
2003.12,557.454390150257,
2004.01,552.865522596876,
2004.02,550.716632784831,
2004.03,547.596365732108,
2004.04,545.361542649498,
2004.05,588.453955803288,
2004.06,585.527438514305,
2004.07,581.284750337382,
2004.08,578.393085126163,
2004.09,577.412555683881,
2004.10,576.43297152175,
2004.11,573.906715698935,
2004.12,569.012555940801,
2005.01,565.788271812013,
2005.02,563.308921170174,
2005.03,559.226842012751,
2005.04,554.183656503115,
2005.05,634.998230923458,
2005.06,635.697981030343,
2005.07,635.507896414155,
2005.08,635.507896414155,
2005.09,634.55668304871,
2005.10,630.898395847248,
2005.11,627.511120607603,
2005.12,625.010157292936,
2006.01,622.644236885015,
2006.02,621.214626904705,
2006.03,619.541953696743,
2006.04,721.932237414234,
2006.05,720.995875547121,
2006.06,721.501043321783,
2006.07,720.709100783258,
2006.08,720.852459643486,
2006.09,719.701685775174,
2006.10,716.619955583274,
2006.11,713.623952921217,
2006.12,709.227338589789,
2007.01,705.768949877718,
2007.02,702.81824352548,
2007.03,699.738774934276,
2007.04,757.746807502,
2007.05,755.781832957778,
2007.06,753.446707592368,
2007.07,751.04324971184,
2007.08,746.638810327525,
2007.09,744.777037603291,
2007.10,742.549739778031,
2007.11,739.369902319682,
2007.12,732.267370071187,
2008.01,727.249041165033,
2008.02,723.775917023075,
2008.03,786.427797116037,
2008.04,781.427724600529,
2008.05,773.997440125257,
2008.06,767.017692310333,
2008.07,762.593642385914,
2008.08,760.996345591892,
2008.09,759.857664134286,
2008.10,756.07801968003,
2008.11,753.215815891401,
2008.12,751.038533029031,
2009.01,746.262628792813,
2009.02,833.59017856251,
2009.03,831.925457892498,
2009.04,827.375420936619,
2009.05,822.43967938505,
2009.06,819.001334672367,
2009.07,817.122204597971,
2009.08,816.469340368705,
2009.09,815.164082544313,
2009.10,813.212681367725,
2009.11,810.215188603531,
2009.12,808.274334140436,
2010.01,878.760768827046,
2010.02,872.65312413598,
2010.03,866.501260661982,
2010.04,860.222580746217,
2010.05,856.538400351859,
2010.06,857.482590637979,
2010.07,858.082817197177,
2010.08,858.683884646415,
2010.09,854.071425683262,
2010.10,846.285292495076,
2010.11,837.657446866925,
2010.12,832.66110935908,
2011.01,873.430646847474,
2011.02,868.738234819556,
2011.03,871.032895693757,
2011.04,864.805162845666,
2011.05,859.903866159892,
2011.06,858.015564600548,
2011.07,858.015564600548,
2011.08,854.427903794077,
2011.09,850.598809772274,
2011.10,847.885387771613,
2011.11,843.081421741579,
2011.12,838.803680104737,
2012.01,952.456350910523,
2012.02,948.756962111382,
2012.03,947.05325253028,
2012.04,941.028405562533,
2012.05,935.881963346542,
2012.06,933.458567816995,
2012.07,929.461102939136,
2012.08,925.298275085583,
2012.09,919.503283801742,
2012.10,913.023089065614,
2012.11,908.118515746601,
2012.12,901.447698159119,
2013.01,973.649049809962,
2013.02,968.611263681592,
2013.03,962.834893019919,
2013.04,957.187241886552,
2013.05,953.848286422024,
2013.06,951.18393350357,
2013.07,952.422295913442,
2013.08,950.901472802388,
2013.09,948.339754397541,
2013.10,942.59014818774,
2013.11,937.528237922798,
2013.12,930.825016446781,
2014.01,987.757219164614,
2014.02,981.475086235113,
2014.03,973.491947346208,
2014.04,965.958270350638,
2014.05,960.197797379616,
2014.06,957.706638625939,
2014.07,956.46355347486,
2014.08,954.744078963482,
2014.09,950.090082624485,
2014.10,946.49364208727,
2014.11,941.503217142636,
2014.12,935.701861982386,
2015.01,1003.56468384252,
2015.02,992.054649740804,
2015.03,977.299263347507,
2015.04,970.410010795777,
2015.05,960.895734672292,
2015.06,953.555162989733,
2015.07,948.055649282597,
2015.08,945.690983336157,
2015.09,940.892522908517,
2015.10,933.703245627162,
2015.11,923.452507400313,
2015.12,915.215488324435,
2016.01,1006.86436806035,
2016.02,997.390141986549,
2016.03,993.01918111398,
2016.04,986.705651316461,
2016.05,977.129481640355,
2016.06,972.558469869082,
2016.07,966.373508031948,
2016.08,963.386822607012,
2016.09,962.617608516776,
2016.10,960.983445629378,
2016.11,960.311479629581,
